MAFSample2 mixProp haplotypeLength Holdout_mTDT2G_cv5_01 Holdout_mTDT2G_cv5_05 Holdout_mTDT2G_cv5_001 Holdout_mTDT2G_cv5_005 Holdout_mTDT2G_cv2_01 Holdout_mTDT2G_cv2_05 Holdout_mTDT2G_cv2_001 Holdout_mTDT2G_cv2_005 Holdout_mTDT2G_cv2_sumOfHalves_01 Holdout_mTDT2G_cv2_sumOfHalves_05 Holdout_mTDT2G_cv2_sumOfHalves_001 Holdout_mTDT2G_cv2_sumOfHalves_005 
0.1 0.5 1
0.3 0.5 1
0.5 0.5 1
0.1 0.75 1
0.3 0.75 1
0.5 0.75 1
0.1 0.833 1
0.3 0.833 1
0.5 0.833 1
0.1 0.5 2
0.3 0.5 2
0.5 0.5 2
0.1 0.75 2
0.3 0.75 2
0.5 0.75 2
0.1 0.833 2
0.3 0.833 2
0.5 0.833 2
0.1 0.5 4
0.3 0.5 4
0.5 0.5 4
0.1 0.75 4
0.3 0.75 4
0.5 0.75 4
0.1 0.833 4
0.3 0.833 4
0.5 0.833 4
0.1 0.5 6
0.3 0.5 6
0.5 0.5 6
0.1 0.75 6
0.3 0.75 6
0.5 0.75 6
0.1 0.833 6
0.3 0.833 6
0.5 0.833 6
0.1 0.5 8
0.3 0.5 8
0.5 0.5 8
0.1 0.75 8
0.3 0.75 8
0.5 0.75 8
0.1 0.833 8
0.3 0.833 8
0.5 0.833 8
0.1 0.5 10
0.3 0.5 10
0.5 0.5 10
0.1 0.75 10
0.3 0.75 10
0.5 0.75 10
0.1 0.833 10
0.3 0.833 10
0.5 0.833 10
